@timestamp,@message
2026-01-20 21:43:22.522,file:///app/dist/index.js:29457
2026-01-20 21:43:22.522,"      throw new Error(""SESSION_SECRET environment variable is required in production"");"
2026-01-20 21:43:22.522,            ^
2026-01-20 21:43:22.522,Error: SESSION_SECRET environment variable is required in production
2026-01-20 21:43:22.522,    at getSession (file:///app/dist/index.js:29457:13)
2026-01-20 21:43:22.522,    at setupReplitAuth (file:///app/dist/index.js:29589:12)
2026-01-20 21:43:22.522,    at setupAuth (file:///app/dist/index.js:29829:9)
2026-01-20 21:43:22.522,    at file:///app/dist/index.js:41751:9
2026-01-20 21:43:22.522,    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
2026-01-20 21:43:22.522,Node.js v20.18.1
2026-01-20 21:43:22.516,"09:43:22 PM [app] INFO: Cron job bootstrap completed {""service"":""cron-bootstrap"",""created"":0,""skipped"":7,""errors"":0,""total"":7}"
2026-01-20 21:43:22.516,"09:43:22 PM [startup] INFO: Default cron jobs bootstrapped {""service"":""sirius""}"
2026-01-20 21:43:22.484,"09:43:22 PM [log-notifier] INFO: Log notifier initialized {""service"":""sirius""}"
2026-01-20 21:43:22.484,"09:43:22 PM [app] INFO: Bootstrapping default cron jobs {""service"":""cron-bootstrap""}"
2026-01-20 21:43:22.483,"09:43:22 PM [startup] INFO: Flood configs loaded from variables {""service"":""sirius""}"
2026-01-20 21:43:22.478,"09:43:22 PM [startup] INFO: Flood events registered {""service"":""sirius""}"
2026-01-20 21:43:22.477,"09:43:22 PM [app] INFO: Registered flood event: bookmark {""service"":""flood-registry"",""threshold"":1000,""windowSeconds"":360}"
2026-01-20 21:43:22.476,"09:43:22 PM [app] INFO: Worker ban notifications initialized {""service"":""worker-ban-notifications""}"
2026-01-20 21:43:22.476,"09:43:22 PM [startup] INFO: Worker ban notifications initialized {""service"":""sirius""}"
2026-01-20 21:43:22.476,"09:43:22 PM [app] INFO: Registered cron job: delete-expired-reports {""service"":""cron-registry""}"
2026-01-20 21:43:22.476,"09:43:22 PM [app] INFO: Registered cron job: delete-old-cron-logs {""service"":""cron-registry""}"
2026-01-20 21:43:22.476,"09:43:22 PM [app] INFO: Registered cron job: process-wmb-batch {""service"":""cron-registry""}"
2026-01-20 21:43:22.476,"09:43:22 PM [app] INFO: Registered cron job: delete-expired-flood-events {""service"":""cron-registry""}"
2026-01-20 21:43:22.476,"09:43:22 PM [app] INFO: Registered cron job: delete-expired-hfe {""service"":""cron-registry""}"
2026-01-20 21:43:22.476,"09:43:22 PM [app] INFO: Registered cron job: sweep-expired-ban-elig {""service"":""cron-registry""}"
2026-01-20 21:43:22.476,"09:43:22 PM [app] INFO: Registered cron job: sync-ban-active-status {""service"":""cron-registry""}"
2026-01-20 21:43:22.476,"09:43:22 PM [startup] INFO: Cron job handlers registered {""service"":""sirius""}"
2026-01-20 21:43:22.475,"09:43:22 PM [app] INFO: Dispatch eligibility plugins registered {""service"":""dispatch-elig-plugins"",""plugins"":[""dispatch_ban"",""dispatch_dnc"",""dispatch_hfe"",""dispatch_skill"",""dispatch_status""]}"
